ID,Montant,Commission,Montant Net,Statut,Date,Client,Description
1,500.00,0.00,500.00,FAILED,2026-02-18T16:46:33.817231,N/A,Panier client
2,500.00,0.00,500.00,FAILED,2026-02-18T16:47:40.395946,N/A,Panier client
3,23.00,0.00,23.00,FAILED,2026-02-18T16:54:49.886003,N/A,Panier client
4,23.00,0.00,23.00,FAILED,2026-02-18T20:40:47.477764,N/A,string
6,25.00,0.00,25.00,FAILED,2026-02-19T12:27:21.449288,N/A,Panier client - 1 article(s)
7,25.00,0.00,25.00,FAILED,2026-02-19T12:30:17.828320,N/A,Panier client - 1 article(s)
8,23.00,0.00,23.00,FAILED,2026-02-19T12:35:19.271830,N/A,Panier client - 1 article(s)
9,23.00,0.00,23.00,FAILED,2026-02-19T12:35:26.819377,N/A,Panier client - 1 article(s)
10,23.00,0.00,23.00,FAILED,2026-02-19T12:35:48.021788,N/A,Panier client - 1 article(s)
11,23.00,0.00,23.00,FAILED,2026-02-19T12:36:00.135512,N/A,Panier client - 1 article(s)
12,23.00,0.00,23.00,SUCCESSFUL,2026-02-19T12:39:04.437339,N/A,Panier client - 1 article(s)
29,500.00,0.00,500.00,FAILED,2026-02-21T17:16:54.129282,N/A,Panier client - 1 article(s)
30,500.00,0.00,500.00,FAILED,2026-02-23T13:26:27.352126,N/A,Panier client - 1 article(s)
32,20.00,0.00,20.00,FAILED,2026-02-23T17:21:02.240603,N/A,string
35,23.00,0.00,23.00,FAILED,2026-02-24T11:33:30.519807,N/A,string
38,23.00,0.00,23.00,FAILED,2026-02-24T19:39:56.113711,N/A,string
39,20.00,0.00,20.00,SUCCESSFUL,2026-02-25T17:09:46.318523,N/A,string

